BOOKING_UNIT,MASTER_CLIENT_CODE,BOOKING_AGENCY_CODESUBCODE,RO_NO,RO_DATE,MASTER_CLIENT_NAME,MASTER_AGENCY_NAME,BOOKING_PACKAGE_CODE,MASTER_PACKAGE_NAME,BOOKING_COLOUR,ATTACHMENT1,ATTACHMENT2,BOOKING_ID
NA1,58601,AI5AIR3,336268,06-06-19 12:00:00,"NORTH EASTERN RAILWAY,[NEW DELHI]",AIRADS LIMITED,AU18,AU-VNS,B,,,DNA1201900009500
JH0,PO57,PO161POL100,COR/13/2018,22-06-19 12:00:00,POLICE UPADHIKSHAK RAILWAY,POLICE UPADHIKSHAK RAILWAY JHANSI,JH3,AU-JHS,B,,,DJH0201900002210
GO0,PO61,KA274KAR82,MEMO,05-07-19 12:00:00,POLICE ADHIKSHAK RAILWAY ANUBHAG GKP,KARYALAYA POLICE ADHIKSHAK RAILWAY ANUBHAG GORAKHP,AU2,AU-GKP,B,,,DGO0201900004876
NA1,32189,AL13ALA3,0601,03-08-19 12:00:00,"SOUTH CENTRAL RAILWAY,[NEW DELHI]",ALAKNANDA ADVERTISING PVT. LTD.,AU17,AU-NWD,B,,DNA1201900013064.pdf,DNA1201900013064
NA1,WE26,HE59HEA31,1921,19-11-19 12:00:00,"WESTERN RAILWAY,KOLKATA",HEADLINERS ADVERTISING SERVICES [P] LTD.,AU29,AU-CHD,B,,DNA1201900019106.pdf,DNA1201900019106
MO0,75737,PO53POL34,MEMO,28-12-19 12:00:00,"POLICE ADHIKSHA, RAILWAY, [MORADABAD]",POLICE ADHIKSHAK RAILWAY,AU15,AU-MRD,B,,DMO0201900011924-RO.jpg,DMO0201900011924
BA0,NO48,MO103MOH30,1100/8122,10-01-20 12:00:00,NORTHERN RAILWAY MORADABAD,"MOHIT COMMUNICATION,BAREILLY",AU10,AU-BLY,B,,DBA0202000000283_0001.jpg,DBA0202000000283
AG0,KE137,KE106KEN104,40001,13-02-20 12:00:00,KENDRIYA VIDALAYA RAILWAY IDGAH AGRA,KENDRIYA VIDHYALAYA [NO.1],AU7,AU-AGR,B,,DAG0202000001705_RO.pdf,DAG0202000001705
NA1,45073,PA334PAM27,125863,03-03-20 12:00:00,"KONKAN RAILWAY CORPORATION LIMITED,[MUMBAI]",PAMM ADVERTISING & MARKETING (MUMBAI),AU17,AU-NWD,B,,DNA1202000003362.pdf,DNA1202000003362
RO0,MI277,FM6FM 5,55136,20-11-20 12:00:00,"MINISTRY OF RAILWAY, REWARI",FM ADVERTSING,AU17,AU-NWD,B,"RTK-21NOV20_RO_02_20201120180637.jpg,Discount approval Railways_20201201204907.eml",,DRO0202000002841
AL0,114719,SA741SAT50,93838,18-12-20 12:00:00,"RAILWAY RECRUITMENT CELL, [ALLAHABAD]",SATYA ADVERTISING AGENCY,AU10,AU-BLY,B,ALD17DEC20_RO_0009_20201218192404.jpg,,DAL0202000006797
LU0,NO79,AN129ANI30,150,21-12-20 12:00:00,"NORTH EASTERN RAILWAY,GONDA",ANIL KUMAR PATHAK,AU37,AU-LKN,B,LKN20DEC22_RO_19-R_20201221184544.pdf,,DLU0202000020949
NA1,15550,FA49FAS13,0691,06-07-21 12:00:00,"NORTH EAST FRONTIER RAILWAY, MALEGAON",FAST COMMUNICATION,AU32,AU-KNP,B,RO_691_Amar Ujala (Kanpur) _DOP_07_20210706184118.07,,DNA1202100006374
AL0,CE142,PA212PAM18,146784,19-07-21 12:00:00,CENTRAL ORGANI FOR RAILWAY ELECTRIFICATION PRAYAGR,PAMM ADVERTISING & MARKETING,AU37,AU-LKN,B,20july21_ald_ro_0018_20210719192832.pdf,,DAL0202100004573
